caractériser	verb	caractériser (verb) ||| to characterize
centile	noun	centile (noun) ||| percentile
antérieur	adj	antérieur (adj) ||| previous
inscrire	verb	inscrire (verb) ||| to register
bohémienne	noun	bohémienne (noun) ||| bohemian
gardiennage	noun	gardiennage (noun) ||| security guard
culpabilité	noun	culpabilité (noun) ||| conviction
dissolution	noun	dissolution (noun) ||| abolition
chausser	verb	chausser (verb) ||| to put on
budgétiser	verb	budgétiser (verb) ||| to budget
mourir	verb	se mourir (verb) ||| to die out
schéma	noun	schéma (noun) ||| schema
macroéconomique	adj	macroéconomique (adj) ||| macroeconomic
instable	adj	instable (adj) ||| unstable
afficher	verb	afficher (verb) ||| to view
cahoter	verb	cahoter (verb) ||| to joggle
atténuant	adj	atténuant (adj) ||| extenuating
Eurogroupe	noun	Eurogroupe (noun) ||| euro group
liqueur	noun	liqueur (noun) ||| liquor
dissuasif	adj	dissuasif (adj) ||| dissuasive
stabilisateur	noun	stabilisateur (noun) ||| stabilizer
coquelicot	noun	coquelicot (noun) ||| red poppy
prévisibilité	noun	prévisibilité (noun) ||| predictability
maîtresse	noun	maîtresse (noun) ||| schoolmistress
extrême	adj	extrême (adj) ||| extreme
compartiment	noun	compartiment (noun) ||| bin
libidineux	adj	libidineux (adj) ||| lecherous
français	noun	français (noun) ||| French
modiste	noun	modiste (noun) ||| milliner
rebondir	verb	rebondir (verb) ||| to bounce
éloigner	verb	éloigner (verb) ||| to alienate
CD	noun	CD (noun) ||| CD
bobine	noun	bobine (noun) ||| coil
banal	adj	banal (adj) ||| banal
obstétriciens	noun	obstétriciens (noun) ||| obstetrics
cabriole	noun	cabriole (noun) ||| antics
irrévérencieux	adj	irrévérencieux (adj) ||| irreverent
en déclin	adj phrase	en déclin (adj) ||| in decline
comté	noun	comté (noun) ||| riding
crête	noun	crête (noun) ||| ridge
inévitable	adj	inévitable (adj) ||| inevitable
abstraction	noun	abstraction (noun) ||| independent
câliner	verb	câliner (verb) ||| to pet
lot	noun	lot (noun) ||| lot
notaire	noun	notaire (noun) ||| notary public
ex-dictateur	noun	ex-dictateur (noun) ||| former dictator
pseudo-grippaux	adj	pseudo-grippaux (adj) ||| flu-like
marinier	noun	marinier (noun) ||| submariner
box	noun	box (noun) ||| crate
glamoureux	adj	glamoureux (adj) ||| glamorous
redoutable	adj	redoutable (adj) ||| formidable
isopropanol	noun	isopropanol (noun) ||| isopropyl
décrire	verb	décrire (verb) ||| to outline
hypercholestérolémie	noun	hypercholestérolémie (noun) ||| hypercholesterolaemia
hongrois	noun	hongrois (noun) ||| hungarian
souffle	noun	souffle (noun) ||| breath
bienséant	adj	bienséant (adj) ||| seemly
attaquable	adj	attaquable (adj) ||| arguable
belligérance	noun	belligérance (noun) ||| belligerence
centrifugation	noun	centrifugation (noun) ||| centrifugation
arbitre	noun	arbitre (noun) ||| arbitrator
voleur	noun	voleur (noun) ||| thief
cité	noun	cité (noun) ||| city
grésillement	noun	grésillement (noun) ||| crackle
principe	noun	principe (noun) ||| substance
irrigation	noun	irrigation (noun) ||| irrigation
organe	noun	organe (noun) ||| organ
spéléologue	noun	spéléologue (noun) ||| spelunker
Seigneur	noun	Seigneur (noun) ||| lord
programme	noun	programme (noun) ||| programme
parallèle	noun	parallèle (noun) ||| parallel
agréer	verb	agréer (verb) ||| to authorize
dupe	noun	dupe (noun) ||| cat's-paw
pleurer	verb	pleurer (verb) ||| to weep
créer	verb	créer (verb) ||| to establish
conquérant	noun	conquérant (noun) ||| conqueror
carboniser	verb	carboniser (verb) ||| to char
consolider	verb	consolider (verb) ||| to consolidate
genièvre	noun	genièvre (noun) ||| jenever
légiste	noun	légiste (noun) ||| examiner
existence	noun	existence (noun) ||| existence
maniable	adj	maniable (adj) ||| maneuverable
ajout	noun	ajout (noun) ||| addition
émotionnel	adj	émotionnel (adj) ||| emotive
pré-traitement	noun	pré-traitement (noun) ||| pretreatment
approfondi	adj	approfondi (adj) ||| thorough
tromper	verb	se tromper (verb) ||| to mistake
numérotation	noun	numérotation (noun) ||| processor number
eucharistique	adj	eucharistique (adj) ||| of the eucharist
cubique	adj	cubique (adj) ||| cube-shaped
galvauder	verb	galvauder (verb) ||| to misuse
perforatrice	noun	perforatrice (noun) ||| drill
déconcentration	noun	déconcentration (noun) ||| devolution
dédoublement	noun	dédoublement (noun) ||| overlap
intestinal	adj	intestinal (adj) ||| enteric
capillaire	adj	capillaire (adj) ||| capillary
actualité	noun	actualité (noun) ||| current events
touchant	adj	touchant (adj) ||| touching
crépu	adj	crépu (adj) ||| spiraled
vérin	noun	vérin (noun) ||| actuator
genre	noun	genre (noun) ||| kind
syncope	noun	syncope (noun) ||| syncope
chaussée	noun	chaussée (noun) ||| carriageway
sensation	noun	sensation (noun) ||| sensation
chantier	noun	chantier (noun) ||| shipyard
framboisier	noun	framboisier (noun) ||| raspberry
assimiler	verb	assimiler (verb) ||| to equate
nerf	noun	nerf (noun) ||| sinew
flottant	adj	flottant (adj) ||| buoyant
literie	noun	literie (noun) ||| bedding
Crystal	noun	Crystal (noun) ||| crystal experience
déguster	verb	déguster (verb) ||| to taste
improbité	noun	improbité (noun) ||| deceitfulness
adhérent	noun	adhérent (noun) ||| member
principal	adj	principal (adj) ||| key
menteur	adj	menteur (adj) ||| untruthful
mutilation	noun	mutilation (noun) ||| mutilation
poil	noun	poil (noun) ||| pile
palapa	noun	palapa (noun) ||| palapa
refroidir	verb	refroidir (verb) ||| to cool
expérimenté	adj	expérimenté (adj) ||| practised
homologue	adj	homologue (adj) ||| homologous
vider	verb	se vider (verb) ||| to drain
lasso	noun	lasso (noun) ||| lariat
affirmation	noun	affirmation (noun) ||| statement
communication	noun	communication (noun) ||| communication
autodétruire	verb	autodétruire (verb) ||| to self-destruct  destruct
jumelé	adj	jumelé (adj) ||| semidetached
mûre	noun	mûre (noun) ||| raspberry
convaincant	adj	convaincant (adj) ||| convincing
hachisch	noun	hachisch (noun) ||| hashish
verrouillage	noun	verrouillage (noun) ||| latch
aiguillat	noun	aiguillat (noun) ||| spiny dogfish
courtaud	adj	courtaud (adj) ||| stocky
prédilection	noun	prédilection (noun) ||| predilection
indéterminé	adj	indéterminé (adj) ||| indeterminate
fondement	noun	fondement (noun) ||| basis
mûrier	noun	mûrier (noun) ||| mulberry
encaissable	adj	encaissable (adj) ||| redeemable
institution	noun	institution (noun) ||| institution
bruine	noun	bruine (noun) ||| drizzle
îlet	noun	îlet (noun) ||| grommet
friction	noun	friction (noun) ||| rubbing
bulletin	noun	bulletin (noun) ||| bulletin
attrait	noun	attrait (noun) ||| attraction
bleuté	adj	bleuté (adj) ||| blue
opprimer	verb	opprimer (verb) ||| to oppress
multiprocesseur	noun	multiprocesseur (noun) ||| multiprocessing
extorquer	verb	extorquer (verb) ||| to squeeze
méthanol	noun	méthanol (noun) ||| methyl alcohol
immortel	adj	immortel (adj) ||| undying
gain	noun	gain (noun) ||| earning
démaquillant	noun	démaquillant (noun) ||| make-up remover
D-Pot	noun	D-Pot (noun) ||| D-Pot
frétiller	verb	frétiller (verb) ||| to wriggle
circulation	noun	circulation (noun) ||| traffic
oecuménisme	noun	oecuménisme (noun) ||| ecumenism
plier	verb	plier (verb) ||| to bend
intoxiquer	verb	intoxiquer (verb) ||| to intoxicate
influx	noun	influx (noun) ||| inflow
disjoncteur	noun	disjoncteur (noun) ||| breaker
militer	verb	militer (verb) ||| to campaign
macroscopique	adj	macroscopique (adj) ||| macroscopic
cellulite	noun	cellulite (noun) ||| cellulitis
interactivité	noun	interactivité (noun) ||| user interaction
écologiste	noun	écologiste (noun) ||| ecologist
allergénicité	noun	allergénicité (noun) ||| potential allergenicity
lipase	noun	lipase (noun) ||| lipase level
granuleux	adj	granuleux (adj) ||| grainy
adjudication	noun	adjudication (noun) ||| tender
paria	noun	paria (noun) ||| pariah
récolter	verb	récolter (verb) ||| to harvest
apprécier	verb	apprécier (verb) ||| to enjoy
bossue	noun	bossue (noun) ||| humpback
présélectionner	verb	présélectionner (verb) ||| to preselect
contractuel	adj	contractuel (adj) ||| contractual
convocation	noun	convocation (noun) ||| convocation
patriarcal	adj	patriarcal (adj) ||| paternalistic
paranormal	adj	paranormal (adj) ||| paranormal
direction	noun	direction (noun) ||| management
geindre	verb	geindre (verb) ||| to bleat
Hollandais	noun	Hollandais (noun) ||| Dutch
haciendum	noun	haciendum (noun) ||| haciendum
couloir	noun	couloir (noun) ||| hallway
ensorceler	verb	ensorceler (verb) ||| to enchant
hardi	adj	hardi (adj) ||| hardy
fronton	noun	fronton (noun) ||| pediment
dealer	noun	dealer (noun) ||| dealer
arche	noun	arche (noun) ||| arch
plafonnement	noun	plafonnement (noun) ||| cap
Pompon	noun	Pompon (noun) ||| pompon
spéculateur	noun	spéculateur (noun) ||| speculator
précité	adj	précité (adj) ||| above-mentioned
consterner	verb	consterner (verb) ||| to appall
alarmant	adj	alarmant (adj) ||| alarming
flonflon	noun	flonflon (noun) ||| oompah
lupin	noun	lupin (noun) ||| lupine
internement	noun	internement (noun) ||| confinement
envisager	verb	envisager (verb) ||| to consider
génération	noun	génération (noun) ||| build
dégivreur	noun	dégivreur (noun) ||| deicer
betterave	noun	betterave (noun) ||| beet
salé	adj	salé (adj) ||| salt
verso	noun	verso (noun) ||| reverse
morphine	noun	morphine (noun) ||| morphia
attentat	noun	attentat (noun) ||| attack
insidieux	adj	insidieux (adj) ||| sneaky
romancier	noun	romancier (noun) ||| fiction writer
conglomérat	noun	conglomérat (noun) ||| conglomeration
baquet	noun	baquet (noun) ||| tub
flâneur	noun	flâneur (noun) ||| loafer
souhaitable	adj	souhaitable (adj) ||| desirable
revirement	noun	revirement (noun) ||| turnaround
casser	verb	se casser (verb) ||| to shatter
forage	noun	forage (noun) ||| drill
hachis	noun	hachis (noun) ||| shepherd
malotrue	noun	malotrue (noun) ||| lout
antipaludéen	adj	antipaludéen (adj) ||| against malaria
non-présentation	noun	non-présentation (noun) ||| non-presentation
bondir	verb	bondir (verb) ||| to leap
pétrochimie	noun	pétrochimie (noun) ||| petrochemical sector
affolé	adj	affolé (adj) ||| panic-struck
matérialisme	noun	matérialisme (noun) ||| worldliness
érythème	noun	érythème (noun) ||| rash
gâter	verb	gâter (verb) ||| to spoil
baculovirus	noun	baculovirus (noun) ||| baculoviruses
flageolet	noun	flageolet (noun) ||| flageolet bean
patère	noun	patère (noun) ||| peg
écrou	noun	écrou (noun) ||| nut
Convention	noun	Convention (noun) ||| agreement
légalisation	noun	légalisation (noun) ||| legalization
concentrer	verb	concentrer (verb) ||| to concentrate
puceron	noun	puceron (noun) ||| aphid
justification	noun	justification (noun) ||| rationale
normaliser	verb	normaliser (verb) ||| to standardize
frigidité	noun	frigidité (noun) ||| coldness
zélé	adj	zélé (adj) ||| zealous
monoamine-oxydase	noun	monoamine-oxydase (noun) ||| monoamine oxidase
en cours	adj phrase	en cours (adj) ||| current
aluminium	noun	aluminium (noun) ||| aluminum
afghan	adj	afghan (adj) ||| Afghan
précurseur	adj	précurseur (adj) ||| warning
conclusion	noun	conclusion (noun) ||| conclusion
canoë	noun	canoë (noun) ||| canoeing
racoleur	noun	racoleur (noun) ||| press-gang
récidiviste	noun	récidiviste (noun) ||| repeat offender
Guatémaltèque	noun	Guatémaltèque (noun) ||| Guatemalan
apposer	verb	apposer (verb) ||| to affix
bienheureux	adj	bienheureux (adj) ||| blessed
livret	noun	livret (noun) ||| libretto
bardane	noun	bardane (noun) ||| burr
évitant	adj	évitant (adj) ||| elusive
enchérisseur	noun	enchérisseur (noun) ||| bid
coprésidente	noun	coprésidente (noun) ||| co-chairman
surnaturel	adj	surnaturel (adj) ||| supernatural
contournement	noun	contournement (noun) ||| workaround
résultat	noun	résultat (noun) ||| result
